Id,Income_base_type,Credit_purpose,Insurance_flag,DTI,Sex,Full_age_child_number,Education,Empl_type,Empl_size,Period_at_work,age,Empl_property,Empl_form,Family_status,Max_90_days,Avg_num_delay,If_zalog,Num_account_active_180,Active_to_all_prc,Num_account_active_all,Num_account_closed,Sum_of_paym_months,All_credits,Active_not_cc,Own_closed,Min_mnth_after_loan,Max_mnth_after_loan,Dlq_exist,Ninety_vintage
0,Форма банка (без печати работодателя),Ремонт,1.0,0.59,мужской,0,среднее-специальное,менеджер высшего звена,< 50,100.0,51.0,Транспорт,,,,,,,,,,,,,,,,,
1,2НДФЛ,Ремонт,1.0,0.55,мужской,0,высшее,специалист,>250,29.0,52.0,Другое,Государственное предприятие,женат / замужем,1.0,0.0224719101,0.0,0.0,0.5714285714,4.0,3.0,87.0,7.0,3.0,0.0,7.0,74.0,1.0,0.0
2,2НДФЛ,Ремонт,1.0,0.23,женский,1,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,
3,Свободная форма с печатью работодателя,Покупка земли,0.0,0.32,мужской,0,второе высшее,менеджер среднего звена,< 50,63.0,57.0,Строительство,,,,,,,,,,,,,,,,,
4,Поступление зарплаты на счет,Ремонт,0.0,0.31,мужской,2,высшее,специалист,>250,106.0,34.0,Торговля,ОАО,женат / замужем,3.0,0.035971223,0.0,0.0,0.6666666667,4.0,2.0,134.0,6.0,2.0,1.0,13.0,91.0,1.0,0.0
5,Форма банка (без печати работодателя),Покупка автомобиля,0.0,0.22,мужской,1,второе высшее,менеджер среднего звена,>250,69.0,30.0,Информационные технологии,ЗАО,женат / замужем,1.0,0.28676470589999997,1.0,0.0,0.2727272727,4.0,7.0,194.0,11.0,2.0,1.0,19.0,98.0,1.0,0.0
6,2НДФЛ,Ремонт,1.0,0.12,мужской,0,высшее,менеджер высшего звена,>250,28.0,53.0,Производство,,,,,,,,,,,,,,,,,
7,Форма банка (без печати работодателя),Ремонт,0.0,0.44,мужской,0,высшее,менеджер среднего звена,>250,65.0,32.0,Строительство,,,,,,,,,,,,,,,,,
8,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.42,мужской,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,< 50,11.0,47.0,Другое,ООО,женат / замужем,3.0,0.0,1.0,0.0,0.3636363636,4.0,7.0,161.0,11.0,0.0,1.0,12.0,66.0,0.0,0.0
9,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0.0,0.58,мужской,0,Высшее/Второе высшее/Ученая степень,специалист,>=50,,,,,,,,,,,,,,,,,,,,
10,Поступление зарплаты на счет,Ремонт,0.0,0.25,мужской,0,высшее,специалист,>250,91.0,34.0,Информационные технологии,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.5,1.0,1.0,87.0,2.0,0.0,1.0,33.0,85.0,0.0,0.0
11,2НДФЛ,Другое,1.0,0.46,женский,1,высшее,специалист,< 50,66.0,30.0,Транспорт,,,,,,,,,,,,,,,,,
12,Поступление зарплаты на счет,Ремонт,0.0,0.18,мужской,0,высшее,менеджер по продажам,>250,13.0,26.0,Торговля,ОАО,холост / не замужем,1.0,0.0102040816,0.0,0.0,0.3,3.0,7.0,97.0,10.0,1.0,1.0,9.0,41.0,1.0,0.0
13,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.26,мужской,2,высшее,менеджер высшего звена,< 50,156.0,46.0,Строительство,,,,,,,,,,,,,,,,,
14,Поступление зарплаты на счет,Покупка автомобиля,1.0,0.47,мужской,0,высшее,специалист,>250,7.0,24.0,Информационные технологии,ООО,холост / не замужем,1.0,,,,,,,,,,,,,,
15,Форма банка (без печати работодателя),Ремонт,0.0,0.31,мужской,1,высшее,менеджер высшего звена,< 50,43.0,51.0,Торговля,ООО,женат / замужем,2.0,0.057851239699999994,1.0,1.0,0.3333333333,2.0,4.0,114.0,6.0,1.0,1.0,5.0,63.0,1.0,0.0
16,2НДФЛ,Покупка автомобиля,1.0,0.49,мужской,1,высшее,менеджер среднего звена,>250,44.0,28.0,Сельское и лесное хозяйство,ООО,гражданский брак,0.0,0.029411764700000002,0.0,0.0,0.3333333333,2.0,4.0,33.0,6.0,1.0,0.0,8.0,48.0,1.0,0.0
